Date,Franchise,Montant,Points attribués,Code promo,Promotion liée,Rabais appliqué
2026-07-01,Poké Station Trois-Rivières,64.06,320,,,0.00
2026-07-01,Poké Station Trois-Rivières,48.72,244,,,0.00
2026-07-01,Poké Station Trois-Rivières,18.24,91,,,0.00
2026-07-01,Poké Station Trois-Rivières,57.62,288,,,0.00
2026-07-01,Poké Station Trois-Rivières,71.86,359,,,0.00
2026-07-01,Poké Station Trois-Rivières,25.96,130,BIENVENUE,Bienvenue nouveaux membres,3.89
2026-07-01,Poké Station Trois-Rivières,64.92,325,BIENVENUE,Bienvenue nouveaux membres,9.74
2026-07-01,Poké Station Trois-Rivières,33.75,169,,,0.00
2026-07-01,Poké Station Trois-Rivières,17.43,87,,,0.00
2026-07-02,Poké Station Trois-Rivières,59.05,295,DUO2POUR1,Combo duo vendredi,8.86
2026-07-02,Poké Station Trois-Rivières,43.52,218,DUO2POUR1,Combo duo vendredi,6.53
2026-07-02,Poké Station Trois-Rivières,26.19,131,,,0.00
2026-07-02,Poké Station Trois-Rivières,32.05,160,DUO2POUR1,Combo duo vendredi,4.81
2026-07-02,Poké Station Trois-Rivières,26.10,131,,,0.00
2026-07-02,Poké Station Trois-Rivières,33.36,167,,,0.00
2026-07-03,Poké Station Trois-Rivières,40.09,200,,,0.00
2026-07-03,Poké Station Trois-Rivières,37.57,188,,,0.00
2026-07-03,Poké Station Trois-Rivières,71.58,358,,,0.00
2026-07-04,Poké Station Trois-Rivières,48.81,244,,,0.00
2026-07-04,Poké Station Trois-Rivières,60.83,304,,,0.00
2026-07-04,Poké Station Trois-Rivières,52.71,264,,,0.00
2026-07-04,Poké Station Trois-Rivières,49.45,247,BIENVENUE,Bienvenue nouveaux membres,7.42
2026-07-04,Poké Station Trois-Rivières,16.06,80,BIENVENUE,Bienvenue nouveaux membres,2.41
2026-07-04,Poké Station Trois-Rivières,37.52,188,,,0.00
2026-07-05,Poké Station Trois-Rivières,33.95,170,,,0.00
2026-07-05,Poké Station Trois-Rivières,49.53,248,ETE15,Été Poké — 15 % sur bol signature,7.43
2026-07-05,Poké Station Trois-Rivières,43.31,217,,,0.00
2026-07-06,Poké Station Trois-Rivières,46.53,233,,,0.00
2026-07-06,Poké Station Trois-Rivières,68.87,344,ETE15,Été Poké — 15 % sur bol signature,10.33
2026-07-06,Poké Station Trois-Rivières,32.74,164,,,0.00
2026-07-06,Poké Station Trois-Rivières,23.14,116,ETE15,Été Poké — 15 % sur bol signature,3.47
2026-07-06,Poké Station Trois-Rivières,65.07,325,,,0.00
2026-07-07,Poké Station Trois-Rivières,69.52,348,,,0.00
2026-07-07,Poké Station Trois-Rivières,64.45,322,,,0.00
2026-07-07,Poké Station Trois-Rivières,54.25,271,,,0.00
